event,input,timestamp_msSinceEpoch
Key,3,1621504241009
Key,Other,1621504241522
Key,*,1621504241737
Key,3,1621504242151
Key,+,1621504242553
Key,4,1621504243150
Key,Other,1621504243519
Key,*,1621504243701
Key,4,1621504244068
Key,Calculate (Result: 25),1621504244719
Key,Other,1621504245209
Key,*,1621504245522
Key,1,1621504245932
Key,5,1621504246076
Key,.,1621504246607
Key,2,1621504246982
Key,Calculate (Result: 380.0),1621504247283
Key,Clear,1621504247939
Key,3,1621504250793
Key,Other,1621504251304
Key,*,1621504251440
Key,3,1621504251865
Key,+,1621504252418
Key,4,1621504252839
Key,Other,1621504253237
Key,*,1621504253431
Key,4,1621504253817
Key,Calculate (Result: 25),1621504254396
Key,Other,1621504254937
Key,*,1621504255203
Key,1,1621504255587
Key,5,1621504255757
Key,.,1621504256309
Key,2,1621504256519
Key,Calculate (Result: 380.0),1621504256975
Key,Clear,1621504257702
Key,3,1621504259985
Key,Other,1621504260502
Key,*,1621504260675
Key,3,1621504261041
Key,+,1621504261536
Key,4,1621504261933
Key,Other,1621504262319
Key,*,1621504262494
Key,4,1621504262907
Key,Calculate (Result: 25),1621504263595
Key,Other,1621504263968
Key,*,1621504264181
Key,1,1621504264536
Key,5,1621504264713
Key,.,1621504265184
Key,2,1621504265469
Key,Calculate (Result: 380.0),1621504265830
Key,Clear,1621504266852
Key,3,1621504270379
Key,Other,1621504270750
Key,*,1621504270884
Key,3,1621504271225
Key,+,1621504271595
Key,4,1621504271944
Key,Other,1621504272301
Key,*,1621504272484
Key,4,1621504272835
Key,Calculate (Result: 25),1621504273633
Key,Other,1621504274692
Key,*,1621504274877
Key,1,1621504275291
Key,5,1621504275469
Key,.,1621504275940
Key,2,1621504276079
Key,Calculate (Result: 380.0),1621504276474
Key,Clear,1621504277538
Key,3,1621504279731
Key,Other,1621504280087
Key,*,1621504280256
Key,3,1621504280627
Key,+,1621504281012
Key,4,1621504281333
Key,Other,1621504281656
Key,*,1621504281820
Key,4,1621504282135
Key,Calculate (Result: 25),1621504282622
Key,Other,1621504283090
Key,*,1621504283304
Key,1,1621504283640
Key,5,1621504283791
Key,.,1621504284300
Key,2,1621504284432
Key,Calculate (Result: 380.0),1621504285210
Key,Clear,1621504285831
Key,3,1621504288008
Key,Other,1621504288380
Key,*,1621504288529
Key,3,1621504288905
Key,+,1621504289838
Key,4,1621504290635
Key,Other,1621504290870
Key,*,1621504291120
Key,4,1621504291457
Key,Calculate (Result: 25),1621504291848
Key,Other,1621504292705
Key,*,1621504293050
Key,1,1621504293395
Key,5,1621504293596
Key,.,1621504294137
Key,2,1621504294281
Key,Calculate (Result: 380.0),1621504294697
Key,Clear,1621504295393
Key,3,1621504297544
Key,Other,1621504297902
Key,*,1621504298094
Key,3,1621504298479
Key,+,1621504299000
Key,4,1621504299710
Key,Other,1621504300056
Key,*,1621504300207
Key,4,1621504300523
Key,Calculate (Result: 25),1621504300971
Key,Other,1621504301361
Key,*,1621504301652
Key,1,1621504301985
Key,5,1621504302208
Key,.,1621504302697
Key,2,1621504302861
Key,Calculate (Result: 380.0),1621504303454
Key,Clear,1621504304611
Key,3,1621504306843
Key,Other,1621504307234
Key,*,1621504307420
Key,3,1621504307787
Key,+,1621504308287
Key,4,1621504309023
Key,Other,1621504309326
Key,*,1621504309497
Key,4,1621504309820
Key,Calculate (Result: 25),1621504310398
Key,Other,1621504311013
Key,*,1621504311240
Key,1,1621504311597
Key,5,1621504311827
Key,.,1621504312316
Key,2,1621504312445
Key,Calculate (Result: 380.0),1621504312999
Key,Clear,1621504314162
Key,3,1621504316157
Key,Other,1621504316517
Key,*,1621504316681
Key,3,1621504317016
Key,+,1621504317301
Key,4,1621504317599
Key,Other,1621504317947
Key,*,1621504318246
Key,4,1621504318607
Key,Calculate (Result: 25),1621504319659
Key,Other,1621504320116
Key,*,1621504320769
Key,1,1621504321194
Key,5,1621504321355
Key,.,1621504321854
Key,2,1621504322232
Key,Calculate (Result: 380.0),1621504322479
Key,Clear,1621504323241
Key,3,1621504325226
Key,Other,1621504325674
Key,*,1621504325832
Key,3,1621504326184
Key,+,1621504326564
Key,4,1621504327431
Key,Other,1621504327745
Key,*,1621504327914
Key,4,1621504328246
Key,Calculate (Result: 25),1621504328991
Key,Other,1621504329596
Key,*,1621504329852
Key,1,1621504330381
Key,5,1621504330531
Key,.,1621504331027
Key,2,1621504331169
Key,Calculate (Result: 380.0),1621504331987
Key,Clear,1621504332853
