event,input,timestamp_msSinceEpoch
Button,3,1621503593667
Button,*,1621503594347
Button,3,1621503594988
Button,+,1621503596173
Button,4,1621503596845
Button,*,1621503597461
Button,4,1621503598237
Button,= (Result: 25),1621503599134
Button,*,1621503600999
Button,1,1621503602177
Button,5,1621503602827
Button,.,1621503603446
Button,2,1621503604049
Button,= (Result: 380.0),1621503604706
Button,AC (all cleared),1621503611776
Button,3,1621503613317
Button,*,1621503613942
Button,3,1621503614515
Button,+,1621503615574
Button,4,1621503616351
Button,*,1621503617224
Button,4,1621503617976
Button,= (Result: 25),1621503619168
Button,*,1621503620673
Button,1,1621503621425
Button,.,1621503621994
Button,AC (all cleared),1621503623914
Button,3,1621503625099
Button,*,1621503625659
Button,3,1621503626483
Button,+,1621503627156
Button,4,1621503628023
Button,*,1621503629056
Button,4,1621503629725
Button,= (Result: 25),1621503630550
Button,*,1621503631694
Button,1,1621503632559
Button,5,1621503633167
Button,.,1621503633927
Button,2,1621503634544
Button,= (Result: 380.0),1621503635264
Button,AC (all cleared),1621503639506
Button,3,1621503640322
Button,*,1621503641210
Button,3,1621503641739
Button,+,1621503642900
Button,4,1621503643655
Button,*,1621503645105
Button,4,1621503646006
Button,= (Result: 25),1621503646888
Button,*,1621503647726
Button,1,1621503648398
Button,5,1621503648959
Button,.,1621503649527
Button,2,1621503650063
Button,= (Result: 380.0),1621503650863
Button,AC (all cleared),1621503653657
Button,3,1621503654570
Button,*,1621503655177
Button,3,1621503655802
Button,+,1621503656658
Button,4,1621503657723
Button,*,1621503658469
Button,4,1621503659352
Button,= (Result: 25),1621503660004
Button,1,1621503660820
Button,AC (all cleared),1621503662925
Button,3,1621503664087
Button,*,1621503664647
Button,3,1621503665343
Button,+,1621503666135
Button,4,1621503666777
Button,*,1621503667624
Button,4,1621503668418
Button,= (Result: 25),1621503669224
Button,*,1621503670546
Button,1,1621503671227
Button,5,1621503672008
Button,.,1621503672691
Button,2,1621503673355
Button,= (Result: 380.0),1621503674133
Button,AC (all cleared),1621503688291
Button,3,1621503689365
Button,*,1621503690404
Button,3,1621503691150
Button,+,1621503691788
Button,4,1621503692476
Button,*,1621503693269
Button,4,1621503694190
Button,= (Result: 25),1621503694966
Button,*,1621503696151
Button,1,1621503696918
Button,5,1621503697457
Button,.,1621503698151
Button,2,1621503698752
Button,= (Result: 380.0),1621503699363
Button,AC (all cleared),1621503702098
Button,3,1621503703314
Button,*,1621503703846
Button,3,1621503704482
Button,+,1621503705218
Button,4,1621503706163
Button,*,1621503706852
Button,4,1621503707929
Button,= (Result: 25),1621503708628
Button,*,1621503709333
Button,1,1621503710147
Button,5,1621503710798
Button,.,1621503711430
Button,2,1621503712022
Button,= (Result: 380.0),1621503712854
Button,AC (all cleared),1621503715432
Button,3,1621503716354
Button,*,1621503717170
Button,3,1621503717810
Button,+,1621503718407
Button,4,1621503719178
Button,*,1621503719914
Button,4,1621503720570
Button,= (Result: 25),1621503721299
Button,*,1621503721931
Button,1,1621503722851
Button,5,1621503723483
Button,.,1621503724229
Button,2,1621503724900
Button,= (Result: 380.0),1621503725509
Button,AC (all cleared),1621503728551
Button,3,1621503729335
Button,*,1621503730103
Button,+,1621503731415
Button,AC (all cleared),1621503732708
Button,3,1621503733460
Button,*,1621503733953
Button,3,1621503734509
Button,+,1621503735092
Button,4,1621503735730
Button,*,1621503736509
Button,4,1621503737347
Button,= (Result: 25),1621503738411
Button,*,1621503739374
Button,1,1621503740060
Button,5,1621503740660
Button,.,1621503741260
Button,2,1621503741741
Button,= (Result: 380.0),1621503742798
Button,AC (all cleared),1621503745535
Button,3,1621503746295
Button,*,1621503746889
Button,3,1621503747440
Button,+,1621503748568
Button,4,1621503749275
Button,*,1621503749882
Button,4,1621503750673
Button,= (Result: 25),1621503751482
Button,*,1621503752172
Button,1,1621503752883
Button,5,1621503753355
Button,.,1621503753939
Button,2,1621503754563
Button,= (Result: 380.0),1621503755132
Button,AC (all cleared),1621503757517
Button,3,1621503758581
Button,*,1621503759071
Button,3,1621503759567
Button,+,1621503760198
Button,4,1621503761615
Button,*,1621503762154
Button,4,1621503762955
Button,= (Result: 25),1621503763640
Button,*,1621503764936
Button,1,1621503765512
Button,5,1621503766065
Button,.,1621503766804
Button,2,1621503767313
Button,= (Result: 380.0),1621503767930
