event,input,timestamp_msSinceEpoch
Button,1,1621502294651
Button,+,1621502295531
Button,2,1621502296147
Button,+,1621502296781
Button,3,1621502297588
Button,+,1621502298108
Button,4,1621502298822
Button,+,1621502299477
Button,5,1621502300094
Button,+,1621502300766
Button,6,1621502301350
Button,+,1621502301974
Button,7,1621502302631
Button,+,1621502303441
Button,8,1621502304216
Button,+,1621502304921
Button,9,1621502305761
Button,+,1621502306537
Button,1,1621502307673
Button,0,1621502308258
Button,+,1621502308977
Button,1,1621502309722
Button,1,1621502309947
Button,+,1621502310637
Button,1,1621502311272
Button,2,1621502311659
Button,+,1621502312475
Button,1,1621502314125
Button,3,1621502314957
Button,+,1621502315677
Button,1,1621502316486
Button,4,1621502316885
Button,+,1621502317587
Button,1,1621502318678
Button,5,1621502319219
Button,+,1621502320031
Button,1,1621502320991
Button,6,1621502321536
Button,+,1621502322104
Button,1,1621502322835
Button,7,1621502323729
Button,+,1621502324514
Button,1,1621502325331
Button,8,1621502325994
Button,+,1621502326691
Button,1,1621502327251
Button,9,1621502327935
Button,+,1621502328635
Button,2,1621502329204
Button,0,1621502329790
Button,= (Result: 210),1621502330397
Button,AC (all cleared),1621502333638
Button,+,1621502335400
Button,DEL (removed last character),1621502337624
Button,1,1621502340101
Button,+,1621502340890
Button,2,1621502341565
Button,+,1621502342138
Button,3,1621502342722
Button,+,1621502343244
Button,4,1621502344199
Button,+,1621502344950
Button,5,1621502345700
Button,+,1621502346444
Button,6,1621502347109
Button,+,1621502347877
Button,7,1621502348685
Button,+,1621502349366
Button,8,1621502350298
Button,+,1621502351015
Button,9,1621502351583
Button,+,1621502352616
Button,1,1621502353303
Button,0,1621502354001
Button,+,1621502354697
Button,1,1621502355273
Button,1,1621502355625
Button,+,1621502357098
Button,1,1621502358082
Button,2,1621502358707
Button,+,1621502359515
Button,1,1621502360251
Button,3,1621502360893
Button,+,1621502361732
Button,1,1621502362629
Button,4,1621502363205
Button,+,1621502364133
Button,1,1621502364936
Button,5,1621502365367
Button,+,1621502366175
Button,1,1621502367023
Button,6,1621502367752
Button,+,1621502368623
Button,1,1621502369232
Button,7,1621502369912
Button,+,1621502370770
Button,1,1621502371649
Button,8,1621502372361
Button,+,1621502373034
Button,1,1621502373866
Button,9,1621502374563
Button,+,1621502375683
Button,2,1621502376396
Button,0,1621502377100
Button,= (Result: 210),1621502377948
Button,AC (all cleared),1621502381195
Button,1,1621502382246
Button,+,1621502382887
Button,2,1621502383479
Button,+,1621502384135
Button,3,1621502384712
Button,+,1621502385377
Button,4,1621502386860
Button,+,1621502387513
Button,5,1621502388308
Button,+,1621502389002
Button,6,1621502389579
Button,+,1621502390266
Button,7,1621502390955
Button,+,1621502391715
Button,8,1621502392343
Button,+,1621502393300
Button,9,1621502393885
Button,+,1621502395109
Button,1,1621502395935
Button,0,1621502396517
Button,+,1621502397192
Button,1,1621502398031
Button,1,1621502398295
Button,+,1621502399215
Button,2,1621502399825
Button,AC (all cleared),1621502401680
Button,1,1621502404658
Button,+,1621502405386
Button,2,1621502406114
Button,+,1621502407051
Button,3,1621502407659
Button,+,1621502408408
Button,4,1621502409300
Button,+,1621502410060
Button,5,1621502410936
Button,+,1621502411581
Button,6,1621502412375
Button,+,1621502413223
Button,7,1621502414062
Button,+,1621502414873
Button,8,1621502415623
Button,+,1621502416263
Button,9,1621502416984
Button,+,1621502417648
Button,1,1621502418513
Button,0,1621502419129
Button,+,1621502419850
Button,1,1621502420729
Button,1,1621502421026
Button,+,1621502421810
Button,1,1621502422482
Button,2,1621502424147
Button,+,1621502424805
Button,1,1621502425388
Button,3,1621502425980
Button,+,1621502427061
Button,1,1621502427893
Button,4,1621502428382
Button,+,1621502429310
Button,1,1621502429982
Button,5,1621502430440
Button,+,1621502431199
Button,1,1621502432017
Button,6,1621502432455
Button,+,1621502433160
Button,1,1621502434073
Button,7,1621502434658
Button,+,1621502435625
Button,1,1621502436377
Button,8,1621502436898
Button,+,1621502437660
Button,1,1621502438325
Button,9,1621502438818
Button,+,1621502439595
Button,2,1621502440147
Button,0,1621502440654
Button,= (Result: 210),1621502441676
Button,AC (all cleared),1621502444293
Button,1,1621502445974
Button,+,1621502446903
Button,2,1621502447503
Button,+,1621502448119
Button,3,1621502448618
Button,+,1621502449120
Button,4,1621502449736
Button,+,1621502450904
Button,5,1621502451569
Button,+,1621502452302
Button,6,1621502452901
Button,+,1621502453618
Button,7,1621502454734
Button,+,1621502455379
Button,8,1621502456243
Button,+,1621502456972
Button,9,1621502457708
Button,+,1621502458460
Button,1,1621502459201
Button,0,1621502459701
Button,+,1621502460421
Button,1,1621502461062
Button,1,1621502461326
Button,+,1621502464071
Button,1,1621502465137
Button,2,1621502465800
Button,+,1621502466881
Button,1,1621502467735
Button,3,1621502468369
Button,+,1621502468915
Button,1,1621502469683
Button,4,1621502470281
Button,+,1621502471226
Button,1,1621502472266
Button,5,1621502472823
Button,+,1621502473516
Button,1,1621502474276
Button,6,1621502474925
Button,+,1621502475565
Button,1,1621502476389
Button,7,1621502477013
Button,+,1621502477870
Button,1,1621502478567
Button,8,1621502479193
Button,+,1621502480080
Button,1,1621502480791
Button,9,1621502481481
Button,+,1621502482193
Button,2,1621502482872
Button,0,1621502483747
Button,= (Result: 210),1621502484505
Button,AC (all cleared),1621502489748
Button,1,1621502490821
Button,+,1621502491620
Button,2,1621502492205
Button,+,1621502492822
Button,3,1621502493406
Button,+,1621502493998
Button,4,1621502494752
Button,+,1621502495495
Button,5,1621502496247
Button,+,1621502497152
Button,6,1621502497834
Button,+,1621502498676
Button,7,1621502499578
Button,+,1621502500353
Button,8,1621502501044
Button,+,1621502501738
Button,9,1621502502494
Button,+,1621502503531
Button,1,1621502504314
Button,0,1621502504779
Button,+,1621502505763
Button,1,1621502506493
Button,1,1621502506780
Button,+,1621502507510
Button,1,1621502508935
Button,2,1621502509344
Button,+,1621502510238
Button,1,1621502511094
Button,3,1621502511937
Button,+,1621502512609
Button,1,1621502514384
Button,4,1621502514833
Button,+,1621502515808
Button,1,1621502516492
Button,5,1621502518082
Button,+,1621502518947
Button,1,1621502519711
Button,6,1621502520611
Button,+,1621502521549
Button,1,1621502522358
Button,7,1621502522910
Button,+,1621502523797
Button,1,1621502524741
Button,8,1621502525350
Button,+,1621502526192
Button,1,1621502526874
Button,9,1621502527474
Button,+,1621502528584
Button,2,1621502530124
Button,0,1621502530740
Button,= (Result: 210),1621502531757
Button,AC (all cleared),1621502535051
Button,1,1621502535774
Button,+,1621502536395
Button,2,1621502537119
Button,+,1621502538212
Button,3,1621502538709
Button,+,1621502540256
Button,4,1621502541550
Button,+,1621502542455
Button,5,1621502543207
Button,+,1621502544156
Button,6,1621502544773
Button,+,1621502545600
Button,7,1621502546389
Button,+,1621502547297
Button,8,1621502547988
Button,+,1621502548689
Button,9,1621502549706
Button,+,1621502550610
Button,1,1621502551387
Button,0,1621502552011
Button,+,1621502553070
Button,1,1621502554324
Button,1,1621502554704
Button,+,1621502555637
Button,1,1621502556439
Button,2,1621502557103
Button,+,1621502557744
Button,1,1621502558438
Button,3,1621502559055
Button,+,1621502559727
Button,1,1621502560457
Button,4,1621502560928
Button,+,1621502561880
Button,1,1621502562890
Button,5,1621502563419
Button,+,1621502564185
Button,1,1621502565303
Button,6,1621502565987
Button,+,1621502566931
Button,1,1621502567920
Button,7,1621502568611
Button,+,1621502569468
Button,1,1621502570369
Button,8,1621502570918
Button,+,1621502571735
Button,1,1621502572501
Button,9,1621502573217
Button,+,1621502573975
Button,2,1621502574542
Button,0,1621502575420
Button,= (Result: 210),1621502576435
Button,AC (all cleared),1621502579145
Button,1,1621502580397
Button,+,1621502581083
Button,2,1621502581818
Button,+,1621502582370
Button,3,1621502582989
Button,+,1621502583533
Button,4,1621502584403
Button,+,1621502585276
Button,5,1621502586132
Button,+,1621502586983
Button,6,1621502587665
Button,+,1621502588695
Button,7,1621502589351
Button,+,1621502590081
Button,8,1621502590823
Button,+,1621502591761
Button,9,1621502592519
Button,+,1621502593484
Button,1,1621502594200
Button,0,1621502594593
Button,+,1621502595465
Button,1,1621502596398
Button,1,1621502596737
Button,+,1621502597683
Button,1,1621502598850
Button,2,1621502599523
Button,+,1621502600307
Button,1,1621502601269
Button,3,1621502601909
Button,+,1621502602664
Button,1,1621502603333
Button,4,1621502604053
Button,+,1621502604847
Button,1,1621502605702
Button,5,1621502606134
Button,+,1621502606999
Button,1,1621502608096
Button,6,1621502608712
Button,+,1621502609472
Button,1,1621502610690
Button,7,1621502611273
Button,+,1621502612114
Button,1,1621502613274
Button,8,1621502614030
Button,+,1621502614862
Button,1,1621502615667
Button,9,1621502616483
Button,+,1621502617387
Button,2,1621502617972
Button,0,1621502618495
Button,= (Result: 210),1621502619165
Button,AC (all cleared),1621502625244
Button,1,1621502626312
Button,+,1621502627048
Button,2,1621502628026
