event,input,timestamp_msSinceEpoch
Button,1,1621502904032
Button,+,1621502905000
Button,2,1621502905760
Button,+,1621502906584
Button,3,1621502907520
Button,+,1621502908128
Button,4,1621502908724
Button,+,1621502909496
Button,5,1621502910111
Button,+,1621502910912
Button,6,1621502911480
Button,+,1621502912168
Button,7,1621502912783
Button,+,1621502913472
Button,8,1621502914232
Button,+,1621502915000
Button,9,1621502915720
Button,+,1621502916376
Button,1,1621502917007
Button,0,1621502917472
Button,+,1621502918952
Button,1,1621502920704
Button,1,1621502921128
Button,+,1621502922024
Button,1,1621502922616
Button,2,1621502923728
Button,+,1621502924495
Button,1,1621502925240
Button,3,1621502925768
Button,+,1621502926600
Button,1,1621502927232
Button,4,1621502927695
Button,+,1621502928504
Button,1,1621502929184
Button,5,1621502929640
Button,+,1621502930456
Button,1,1621502931160
Button,6,1621502931776
Button,+,1621502932536
Button,1,1621502933241
Button,7,1621502934241
Button,+,1621502935076
Button,1,1621502936576
Button,8,1621502937640
Button,+,1621502939360
Button,1,1621502940120
Button,9,1621502940800
Button,+,1621502941768
Button,2,1621502942424
Button,0,1621502943162
Button,= (Result: 210),1621502943720
Button,AC (all cleared),1621502944840
Button,1,1621502945640
Button,+,1621502946273
Button,2,1621502947152
Button,+,1621502948079
Button,3,1621502949233
Button,+,1621502949832
Button,4,1621502950760
Button,+,1621502951480
Button,5,1621502952040
Button,+,1621502953008
Button,6,1621502953615
Button,+,1621502954272
Button,7,1621502954960
Button,+,1621502955768
Button,8,1621502956576
Button,+,1621502957360
Button,9,1621502958152
Button,+,1621502959074
Button,1,1621502960736
Button,0,1621502961399
Button,+,1621502962184
Button,1,1621502962944
Button,1,1621502963320
Button,+,1621502964064
Button,1,1621502964807
Button,2,1621502965288
Button,+,1621502966032
Button,1,1621502966688
Button,3,1621502967536
Button,+,1621502968369
Button,1,1621502969312
Button,4,1621502969880
Button,+,1621502970528
Button,1,1621502971240
Button,5,1621502971793
Button,+,1621502972752
Button,1,1621502973423
Button,6,1621502974183
Button,+,1621502975040
Button,1,1621502976169
Button,7,1621502976624
Button,+,1621502977480
Button,1,1621502978296
Button,8,1621502978776
Button,+,1621502979696
Button,1,1621502980216
Button,9,1621502981096
Button,+,1621502981856
Button,2,1621502982343
Button,0,1621502982920
Button,= (Result: 210),1621502983744
Button,AC (all cleared),1621502985257
Button,1,1621502986104
Button,+,1621502987091
Button,2,1621502987872
Button,+,1621502988608
Button,3,1621502989288
Button,+,1621502989920
Button,4,1621502990776
Button,+,1621502991458
Button,5,1621502992160
Button,+,1621502992784
Button,6,1621502993368
Button,+,1621502994320
Button,7,1621502995944
Button,+,1621502996768
Button,8,1621502997664
Button,+,1621502998652
Button,9,1621503000768
Button,+,1621503001602
Button,1,1621503002576
Button,0,1621503003120
Button,+,1621503003808
Button,1,1621503004352
Button,1,1621503004642
Button,+,1621503005487
Button,1,1621503006255
Button,2,1621503006728
Button,+,1621503007480
Button,1,1621503008200
Button,3,1621503009096
Button,+,1621503009720
Button,1,1621503010528
Button,4,1621503011111
Button,+,1621503011943
Button,1,1621503012800
Button,5,1621503013456
Button,+,1621503014295
Button,1,1621503014920
Button,6,1621503015920
Button,+,1621503016793
Button,1,1621503017913
Button,7,1621503018400
Button,+,1621503019256
Button,1,1621503019952
Button,8,1621503020952
Button,+,1621503021711
Button,1,1621503022464
Button,9,1621503023040
Button,+,1621503023824
Button,2,1621503024488
Button,0,1621503025056
Button,= (Result: 210),1621503025840
Button,AC (all cleared),1621503026720
Button,1,1621503027904
Button,+,1621503028647
Button,2,1621503029543
Button,+,1621503030248
Button,3,1621503030903
Button,+,1621503031504
Button,4,1621503032392
Button,+,1621503033183
Button,5,1621503033888
Button,+,1621503034616
Button,6,1621503035135
Button,+,1621503035775
Button,7,1621503036568
Button,+,1621503037607
Button,8,1621503038272
Button,+,1621503039137
Button,9,1621503039768
Button,+,1621503040455
Button,1,1621503041089
Button,0,1621503041583
Button,+,1621503042280
Button,1,1621503043503
Button,1,1621503043831
Button,+,1621503044623
Button,1,1621503045343
Button,2,1621503045912
Button,+,1621503046967
Button,1,1621503047752
Button,3,1621503048271
Button,+,1621503048872
Button,1,1621503049455
Button,4,1621503049880
Button,+,1621503050520
Button,1,1621503051448
Button,5,1621503051936
Button,+,1621503052512
Button,1,1621503053237
Button,6,1621503053967
Button,+,1621503054712
Button,1,1621503055369
Button,7,1621503055840
Button,+,1621503056568
Button,1,1621503057225
Button,8,1621503057807
Button,+,1621503058626
Button,1,1621503059648
Button,9,1621503060392
Button,+,1621503061376
Button,2,1621503062216
Button,0,1621503062824
Button,= (Result: 210),1621503063768
Button,AC (all cleared),1621503064912
Button,1,1621503065983
Button,+,1621503066800
Button,2,1621503067568
Button,+,1621503068752
Button,3,1621503069440
Button,+,1621503070017
Button,4,1621503071592
Button,+,1621503072407
Button,5,1621503073103
Button,+,1621503073783
Button,6,1621503074367
Button,+,1621503074983
Button,7,1621503075615
Button,+,1621503076519
Button,8,1621503077159
Button,+,1621503077888
Button,9,1621503078584
Button,+,1621503079360
Button,1,1621503080208
Button,0,1621503080680
Button,+,1621503081632
Button,1,1621503082231
Button,1,1621503082487
Button,+,1621503083250
Button,1,1621503083832
Button,2,1621503084312
Button,+,1621503085136
Button,1,1621503085736
Button,3,1621503086304
Button,+,1621503087016
Button,1,1621503087641
Button,4,1621503088008
Button,+,1621503088783
Button,1,1621503089432
Button,5,1621503089984
Button,+,1621503090832
Button,1,1621503091536
Button,6,1621503092743
Button,+,1621503093640
Button,1,1621503094288
Button,7,1621503094944
Button,+,1621503095832
Button,1,1621503096623
Button,8,1621503097615
Button,+,1621503098418
Button,1,1621503099136
Button,9,1621503100440
