event,input,timestamp_msSinceEpoch
Button,3,1621503929327
Button,*,1621503930551
Button,3,1621503931103
Button,+,1621503931863
Button,4,1621503932599
Button,*,1621503933607
Button,4,1621503934311
Button,= (Result: 25),1621503935087
Button,*,1621503936350
Button,1,1621503936999
Button,5,1621503937543
Button,.,1621503938383
Button,2,1621503938919
Button,= (Result: 380.0),1621503939575
Button,AC (all cleared),1621503940823
Button,3,1621503942008
Button,*,1621503942840
Button,3,1621503943495
Button,+,1621503944192
Button,4,1621503944872
Button,*,1621503945495
Button,4,1621503946232
Button,= (Result: 25),1621503947247
Button,*,1621503948999
Button,1,1621503950311
Button,5,1621503950807
Button,.,1621503951423
Button,2,1621503951895
Button,= (Result: 380.0),1621503953367
Button,AC (all cleared),1621503954743
Button,3,1621503956408
Button,*,1621503956975
Button,3,1621503957480
Button,+,1621503958184
Button,4,1621503959128
Button,*,1621503959959
Button,4,1621503960647
Button,= (Result: 25),1621503961887
Button,*,1621503962991
Button,1,1621503963688
Button,5,1621503964272
Button,.,1621503964887
Button,2,1621503965447
Button,= (Result: 380.0),1621503966199
Button,AC (all cleared),1621503967519
Button,3,1621503968855
Button,*,1621503969394
Button,3,1621503969863
Button,+,1621503970591
Button,4,1621503971919
Button,*,1621503972712
Button,4,1621503973687
Button,= (Result: 25),1621503974783
Button,*,1621503975551
Button,1,1621503976167
Button,5,1621503976671
Button,.,1621503977407
Button,2,1621503977919
Button,= (Result: 380.0),1621503978703
Button,AC (all cleared),1621503979688
Button,3,1621503980935
Button,*,1621503981608
Button,3,1621503982215
Button,+,1621503982793
Button,4,1621503983591
Button,*,1621503984487
Button,4,1621503985448
Button,= (Result: 25),1621503986095
Button,*,1621503987128
Button,1,1621503987904
Button,5,1621503988559
Button,.,1621503989175
Button,2,1621503989703
Button,= (Result: 380.0),1621503991327
Button,AC (all cleared),1621503992168
Button,3,1621503993207
Button,*,1621503993991
Button,3,1621503994567
Button,+,1621503995551
Button,4,1621503996576
Button,*,1621503997359
Button,4,1621503998151
Button,= (Result: 25),1621503999399
Button,*,1621504000095
Button,1,1621504000887
Button,5,1621504001807
Button,.,1621504002496
Button,2,1621504003239
Button,= (Result: 380.0),1621504003920
Button,AC (all cleared),1621504004951
Button,3,1621504006223
Button,*,1621504006863
Button,3,1621504007608
Button,+,1621504008400
Button,4,1621504009095
Button,*,1621504009871
Button,4,1621504010895
Button,= (Result: 25),1621504011999
Button,*,1621504013055
Button,1,1621504013751
Button,5,1621504014335
Button,.,1621504015151
Button,2,1621504015767
Button,= (Result: 380.0),1621504016647
Button,AC (all cleared),1621504017471
Button,3,1621504018649
Button,*,1621504019335
Button,3,1621504020056
Button,+,1621504020623
Button,4,1621504021495
Button,*,1621504022343
Button,4,1621504023287
Button,= (Result: 25),1621504024447
Button,*,1621504025167
Button,1,1621504025823
Button,5,1621504026359
Button,.,1621504026919
Button,2,1621504027623
Button,= (Result: 380.0),1621504028511
Button,AC (all cleared),1621504029735
Button,3,1621504030895
Button,*,1621504031647
Button,3,1621504032312
Button,+,1621504033328
Button,4,1621504034103
Button,*,1621504034823
Button,4,1621504035679
Button,= (Result: 25),1621504036727
Button,*,1621504037471
Button,1,1621504038207
Button,5,1621504038775
Button,.,1621504039464
Button,2,1621504040047
Button,= (Result: 380.0),1621504040855
Button,AC (all cleared),1621504041911
Button,3,1621504043111
Button,*,1621504043687
Button,3,1621504044312
Button,+,1621504045128
Button,4,1621504045879
Button,*,1621504046704
Button,4,1621504047575
Button,= (Result: 25),1621504048584
Button,+,1621504049583
Button,1,1621504050728
Button,AC (all cleared),1621504052767
Button,3,1621504053791
Button,*,1621504054407
Button,3,1621504055095
Button,+,1621504055895
Button,4,1621504056703
Button,*,1621504057471
Button,4,1621504058063
Button,= (Result: 25),1621504059087
Button,*,1621504059775
Button,1,1621504060591
Button,5,1621504061240
Button,.,1621504061911
Button,2,1621504062527
Button,= (Result: 380.0),1621504063472
Button,AC (all cleared),1621504064535
